time,lat,lon
1766320570.0,33.63623467,73.06864112
1766320581.0,33.63619101,73.06873813
1766320592.0,33.63616696,73.06884973
1766320602.0,33.63614302,73.06896736
1766320611.0,33.63611559,73.06908143
1766320621.0,33.63614947,73.06918395
1766320630.0,33.63623779,73.06922566
